
********** Community [6] ************

Id: 4477, Community ID: 9, Is Centroid: False

Id: 4525, Community ID: 9, Is Centroid: False

Id: 4580, Community ID: 9, Is Centroid: False

Id: 4639, Community ID: 9, Is Centroid: False

Id: 4641, Community ID: 9, Is Centroid: False

Id: 4661, Community ID: 9, Is Centroid: False

Id: 4695, Community ID: 9, Is Centroid: False

Id: 4726, Community ID: 9, Is Centroid: False

Id: 4734, Community ID: 9, Is Centroid: False

Id: 4791, Community ID: 9, Is Centroid: False

Id: 4809, Community ID: 9, Is Centroid: False

Id: 4812, Community ID: 9, Is Centroid: False

Id: 4860, Community ID: 9, Is Centroid: False

Id: 4861, Community ID: 9, Is Centroid: False

Id: 4873, Community ID: 9, Is Centroid: False

Id: 4924, Community ID: 9, Is Centroid: False

Id: 4949, Community ID: 9, Is Centroid: False

Id: 4950, Community ID: 9, Is Centroid: False

Id: 4959, Community ID: 9, Is Centroid: False

Id: 5002, Community ID: 9, Is Centroid: False

Id: 5013, Community ID: 9, Is Centroid: False

Id: 5034, Community ID: 9, Is Centroid: False

Id: 5063, Community ID: 9, Is Centroid: False

Id: 5119, Community ID: 9, Is Centroid: False

Id: 5146, Community ID: 9, Is Centroid: False

Id: 5148, Community ID: 9, Is Centroid: False

Id: 5187, Community ID: 9, Is Centroid: False

Id: 5229, Community ID: 9, Is Centroid: False

Id: 5250, Community ID: 9, Is Centroid: False

Id: 5288, Community ID: 9, Is Centroid: False

Id: 5337, Community ID: 9, Is Centroid: False

Id: 5444, Community ID: 9, Is Centroid: False

Id: 5467, Community ID: 9, Is Centroid: False

Id: 5478, Community ID: 9, Is Centroid: False

Id: 5484, Community ID: 9, Is Centroid: False

Id: 5485, Community ID: 9, Is Centroid: False

Id: 5500, Community ID: 9, Is Centroid: False

Id: 5514, Community ID: 9, Is Centroid: False

Id: 5525, Community ID: 9, Is Centroid: False

Id: 5528, Community ID: 9, Is Centroid: False

Id: 5535, Community ID: 9, Is Centroid: False

Id: 5540, Community ID: 9, Is Centroid: False

Id: 5572, Community ID: 9, Is Centroid: False

Id: 5604, Community ID: 9, Is Centroid: False

Id: 5605, Community ID: 9, Is Centroid: False

Id: 5616, Community ID: 9, Is Centroid: False

Id: 5646, Community ID: 9, Is Centroid: False

Id: 5653, Community ID: 9, Is Centroid: False

Id: 5668, Community ID: 9, Is Centroid: False

Id: 5692, Community ID: 9, Is Centroid: False

