
********** Community [11] ************

Id: 4545, Community ID: 108, Is Centroid: True

Id: 4712, Community ID: 108, Is Centroid: False

Id: 5096, Community ID: 108, Is Centroid: False

********** Community [110] ************

Id: 110, Community ID: 110, Is Centroid: False

Id: 435, Community ID: 110, Is Centroid: False

Id: 570, Community ID: 110, Is Centroid: False

Id: 591, Community ID: 110, Is Centroid: False

Id: 2801, Community ID: 110, Is Centroid: False

Id: 3241, Community ID: 110, Is Centroid: True

Id: 3290, Community ID: 110, Is Centroid: False

Id: 4671, Community ID: 110, Is Centroid: False

Id: 6424, Community ID: 110, Is Centroid: False

********** Community [114] ************

Id: 114, Community ID: 114, Is Centroid: False

Id: 382, Community ID: 114, Is Centroid: True

Id: 1091, Community ID: 114, Is Centroid: False

Id: 1565, Community ID: 114, Is Centroid: False

Id: 2137, Community ID: 114, Is Centroid: False

Id: 3076, Community ID: 114, Is Centroid: False

Id: 4277, Community ID: 114, Is Centroid: False

Id: 5207, Community ID: 114, Is Centroid: False

Id: 5929, Community ID: 114, Is Centroid: False

Id: 6425, Community ID: 114, Is Centroid: False

********** Community [115] ************

Id: 115, Community ID: 115, Is Centroid: True

Id: 798, Community ID: 115, Is Centroid: False

Id: 1444, Community ID: 115, Is Centroid: False

Id: 1971, Community ID: 115, Is Centroid: False

Id: 3180, Community ID: 115, Is Centroid: False

Id: 4057, Community ID: 115, Is Centroid: False

Id: 4430, Community ID: 115, Is Centroid: False

Id: 5094, Community ID: 115, Is Centroid: False

Id: 6134, Community ID: 115, Is Centroid: False

********** Community [118] ************

Id: 118, Community ID: 118, Is Centroid: False

Id: 127, Community ID: 118, Is Centroid: False

Id: 2321, Community ID: 118, Is Centroid: False

Id: 2343, Community ID: 118, Is Centroid: True

Id: 2780, Community ID: 118, Is Centroid: False

Id: 3283, Community ID: 118, Is Centroid: False

Id: 3593, Community ID: 118, Is Centroid: False

Id: 3987, Community ID: 118, Is Centroid: False

Id: 4122, Community ID: 118, Is Centroid: False

Id: 4320, Community ID: 118, Is Centroid: False

********** Community [121] ************

Id: 121, Community ID: 121, Is Centroid: True

Id: 124, Community ID: 121, Is Centroid: False

Id: 125, Community ID: 121, Is Centroid: False

Id: 2048, Community ID: 121, Is Centroid: False

Id: 2890, Community ID: 121, Is Centroid: False

Id: 3975, Community ID: 121, Is Centroid: False

Id: 4803, Community ID: 121, Is Centroid: False

********** Community [123] ************

Id: 123, Community ID: 123, Is Centroid: False

Id: 277, Community ID: 123, Is Centroid: False

Id: 929, Community ID: 123, Is Centroid: True

Id: 1472, Community ID: 123, Is Centroid: False

Id: 5059, Community ID: 123, Is Centroid: False

Id: 5326, Community ID: 123, Is Centroid: False

Id: 6194, Community ID: 123, Is Centroid: False

********** Community [130] ************

Id: 130, Community ID: 130, Is Centroid: False

Id: 1804, Community ID: 130, Is Centroid: False

Id: 1831, Community ID: 130, Is Centroid: False

Id: 3492, Community ID: 130, Is Centroid: False

Id: 4609, Community ID: 130, Is Centroid: False

Id: 4857, Community ID: 130, Is Centroid: False

Id: 5509, Community ID: 130, Is Centroid: True

Id: 5847, Community ID: 130, Is Centroid: False

********** Community [134] ************

Id: 134, Community ID: 134, Is Centroid: True

Id: 404, Community ID: 134, Is Centroid: False

Id: 1128, Community ID: 134, Is Centroid: False

Id: 1290, Community ID: 134, Is Centroid: False

Id: 3951, Community ID: 134, Is Centroid: False

